Model,Accuracy,Misclassification Rate,Sensitivity,Specificity,Precision
linear_regression,0.8352059925093633,0.1647940074906367,0.9935483870967742,0.6160714285714286,0.7817258883248731
linear_regression_with_grid,0.9413233458177278,0.05867665418227216,0.9909747292418772,0.8299595141700404,0.9289340101522843
k_nearest_neighbor,0.30337078651685395,0.6966292134831461,0.9714285714285714,0.27284595300261094,0.05752961082910321
k_nearest_neighbor_with_grid,0.30337078651685395,0.6966292134831461,0.9714285714285714,0.27284595300261094,0.05752961082910321
random_forrest,0.947565543071161,0.052434456928838954,0.9875666074600356,0.8529411764705882,0.9407783417935702
random_forrest_with_grid,0.9263420724094882,0.07365792759051186,0.927652733118971,0.9217877094972067,0.9763113367174281
extra_trees,0.9500624219725343,0.049937578027465665,0.9876106194690265,0.8601694915254238,0.9441624365482234
extra_trees_wit_grid,0.9500624219725343,0.049937578027465665,0.9876106194690265,0.8601694915254238,0.9441624365482234
