Model,Accuracy,Misclassification Rate,Sensitivity,Specificity,Precision
linear_regression,0.9188514357053683,0.08114856429463171,0.9799270072992701,0.7865612648221344,0.9086294416243654
linear_regression_with_grid,0.9338327091136079,0.066167290886392,0.9543918918918919,0.8755980861244019,0.9560067681895094
k_nearest_neighbor,0.27715355805243447,0.7228464419475655,1.0,0.2661596958174905,0.02030456852791878
k_nearest_neighbor_with_grid,0.27715355805243447,0.7228464419475655,1.0,0.2661596958174905,0.02030456852791878
random_forrest,0.9500624219725343,0.049937578027465665,0.984182776801406,0.8663793103448276,0.9475465313028765
random_forrest_with_grid,0.9425717852684145,0.05742821473158552,0.9805996472663139,0.8504273504273504,0.9407783417935702
extra_trees,0.9637952559300874,0.03620474406991261,0.9878472222222222,0.9022222222222223,0.9627749576988156
extra_trees_wit_grid,0.9637952559300874,0.03620474406991261,0.9878472222222222,0.9022222222222223,0.9627749576988156
