Model,Accuracy,Misclassification Rate,Sensitivity,Specificity,Precision
linear_regression,0.9188514357053684,0.08114856429463171,0.97992700729927,0.7865612648221344,0.9086294416243654
linear_regression_with_grid,0.933832709113608,0.06616729088639199,0.954391891891892,0.8755980861244019,0.9560067681895094
k_nearest_neighbor,0.2771535580524345,0.7228464419475655,1.0,0.2661596958174905,0.02030456852791878
k_nearest_neighbor_with_grid,0.2771535580524345,0.7228464419475655,1.0,0.2661596958174905,0.02030456852791878
random_forrest,0.9500624219725344,0.04993757802746567,0.9841827768014059,0.8663793103448276,0.9475465313028764
random_forrest_with_grid,0.9425717852684145,0.05742821473158553,0.980599647266314,0.8504273504273504,0.9407783417935702
extra_trees,0.9637952559300874,0.036204744069912614,0.9878472222222222,0.9022222222222224,0.9627749576988156
extra_trees_wit_grid,0.9637952559300874,0.036204744069912614,0.9878472222222222,0.9022222222222224,0.9627749576988156
voting_class_boost,0.9463171036204744,0.05368289637952559,0.9707903780068728,0.8812785388127854,0.9560067681895094
